 ,Area,Mean,Min,Max
1,442,9305.100,5985,12728
2,290,8367.717,5964,11372
3,361,7956.529,5912,10699
4,465,7899.987,5922,10560
5,306,8151.284,5918,10891
6,273,7991.106,5924,10609
7,295,7503.705,5914,9710
8,273,11235.440,5914,16006
9,330,8848.809,5930,11509
10,293,8119.679,5978,11471
11,343,8126.738,5928,10457
12,259,6817.448,5916,9238
13,292,7582.229,5934,9708
14,287,7023.220,5928,8449
15,348,7297.779,5914,9651
16,390,7347.003,5914,9809
17,340,8140.556,5940,10141
18,320,8293.616,5932,11074
19,343,8666.481,5930,12347
20,298,7801.134,5914,9903
21,362,8604.539,5924,12104
22,266,7433.692,5918,9315
23,376,8267.455,5938,10933
24,488,15708.416,5928,28148
25,355,8547.696,5918,12162
26,433,9271.400,5916,13071
27,303,7571.868,5916,9464
28,347,7699.395,5922,9460
29,351,8793.823,5920,12150
30,487,8997.979,5938,13159
31,295,8087.234,5924,10361
32,294,7680.364,5912,9577
33,333,7815.354,5916,10318
34,259,8689.606,5912,13572
35,278,12381.439,6085,19304
36,308,7453.662,5928,9837
37,346,7385.462,5912,9408
38,356,9260.795,5914,12924
39,351,7478.365,5930,9988
40,341,7254.563,5912,9136
41,221,6960.104,5916,9075
42,299,7571.258,5912,9563
43,461,8985.206,5960,12047
44,494,9248.919,5926,14096
45,354,8198.305,5912,10671
46,291,9005.412,5914,12400
47,356,8227.230,5920,10925
48,409,7146.523,5918,9011
49,296,11091.838,5922,15877
50,274,6793.135,5924,8289
51,354,7931.619,5912,10925
52,375,8429.131,5966,11553
53,356,9527.992,5964,13498
54,421,10354.245,5926,13731
55,399,7800.421,5912,10220
56,454,9431.872,5926,12422
57,335,10997.504,5985,15170
58,321,9945.975,6025,13427
59,403,8303.454,5960,10862
60,236,9669.623,5999,15025
61,342,9990.576,5920,13040
62,325,7680.338,5970,9772
63,385,10221.187,5920,14112
64,307,9421.818,6003,12797
65,288,7761.722,5922,11211
66,346,8684.769,5926,12263
67,477,10406.203,5940,15361
68,357,8855.319,5942,11759
69,284,7342.419,5918,9833
70,241,7814.212,5956,10101
71,436,9946.507,5936,13075
72,340,7440.232,5918,9255
73,314,10686.952,5954,14612
74,334,7541.512,5932,10280
75,356,7794.626,5914,10173
76,301,7542.419,5916,9551
77,425,7273.831,5916,9718
78,259,12925.896,5922,18726
79,372,8852.739,5932,12599
80,421,10162.651,5918,13484
81,472,10279.409,5950,14340
82,256,7584.703,5920,9490
83,204,6899.123,5930,8332
84,377,8751.138,5936,12404
85,276,7888.721,5946,9962
86,337,9850.849,5960,14427
